categoria edifici,pertinenza edificio,parte di edificio,latitudine,longitudine,media,nome,Stato
ninfeo,Palmira,cuneo,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/b/bd/Palmira._Ninfeo_presso_tetrapilo_-_DecArch_-_1-104.jpg,Ninfeo di Palmira,Siria
ninfeo,Palmira,chiave di volta,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/6/6f/Palmira._Ninfeo_presso_tetrapilo_-_DecArch_-_1-105.jpg,Ninfeo di Palmira,Siria
ninfeo,Palmira,trabeazione,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/4/45/Palmira._Ninfeo_presso_tetrapilo._Part.di_Z_05_-_DecArch_-_1-106.jpg,Ninfeo di Palmira,Siria
ninfeo,Palmira,trabeazione,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/b/b9/Palmira._Ninfeo_presso_tetrapilo._Z_05_-_DecArch_-_1-107.jpg,Ninfeo di Palmira,Siria
via colonnata,Palmira,trabeazione,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/d/d8/Palmira._Passaggio_alla_via_colonnata_del_teatro_-_DecArch_-_1-56.jpg,Via colonnata di Palmira,Siria
teatro,Palmira,trabeazione,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/0/0c/Palmira._Portale_al_teatro_della_via_colonnata_-_DecArch_-_1-129.jpg,Teatro di Palmira,Siria
teatro,Palmira,trabeazione,34.5508,38.2687,https://upload.wikimedia.org/wikipedia/commons/1/19/Palmira._Portale_al_teatro_della_via_colonnata_-_DecArch_-_1-130.jpg,Teatro di Palmira,Siria
tempio,Palmira,capitello,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/6/61/Palmira._Sant.di_baal_Shamin_-_DecArch_-_1-168.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,capitello,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/8/88/Palmira._Sant.di_baal_Shamin%2C_corte_nord%2C_porticato_sud_-_DecArch_-_1-169.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,"capitello, colonna",34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/8/89/Palmira._Sant.di_baal_Shamin%2C_corte_nord%2C_porticato_sud_-_DecArch_-_1-170.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,capitello,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/5/5a/Palmira._Sant.di_baal_Shamin%2C_corte_sud_-_DecArch_-_1-171.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,architrave,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/8/8c/Palmira._T._di_baal_Shamin%2C_porta_cella_-_DecArch_-_1-245.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,capitello,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/1/15/Palmira._T._di_baal_Shamin%2C_pronao_-_DecArch_-_1-177.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,trabeazione,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/c/c1/Palmira._T._di_Baal_Shamin%2C_trab.princ_-_DecArch_-_1-176.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,trabeazione,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/f/f8/Palmira._T._di_bel_-_DecArch_-_1-11.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,trabeazione,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/9/92/Palmira._T._di_Bel%2C_temenos_-_DecArch_-_1-41.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/f/f7/Palmira._T._di_baal_Shamin%2C_finestra_muro_cella_-_DecArch_-_1-175.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/1/14/Palmira._T._di_bel._Portale_d%27ingresso_-_DecArch_-_1-15.jpg,Tempio di Baal Shamin ,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/f/f2/Palmira._T._funerario_-_DecArch_-_1-159.jpg,Tempio Funerario,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/3/3e/Palmira._T._funerario_-_DecArch_-_1-160.jpg,Tempio Funerario,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/0/08/Palmira._T._funerario_-_DecArch_-_1-161.jpg,Tempio Funerario,Siria
tempio,Palmira,capitello,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/b/bc/Palmira._T._funerario_-_DecArch_-_1-162.jpg,Tempio Funerario,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/a/a7/Palmira._T._funerario_in_rovina_-_DecArch_-_1-147.jpg,Tempio Funerario,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/e/e4/Palmira._T._funerario_in_rovina_-_DecArch_-_1-153.jpg,Tempio Funerario,Siria
tempio,Palmira,trabeazione,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/7/7e/Palmira._T._funerario_in_rovina_-_DecArch_-_1-154.jpg,Tempio Funerario,Siria
tempio,Palmira,capitello,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/4/40/Palmira._T._funerario_in_rovina_-_DecArch_-_1-156.jpg,Tempio Funerario,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/d/dd/Palmira._T._funerario_in_rovina._part.di_Beta_25_-_DecArch_-_1-141.jpg,Tempio Funerario,Siria
tempio,Palmira,cornice,34.5524,38.2672,https://upload.wikimedia.org/wikipedia/commons/1/16/Palmira._T._funerario%2C_cornice_lati_cella_-_DecArch_-_1-158.jpg,Tempio Funerario,Siria
tempio,Palmira,mensola,34.54915,38.27055,https://upload.wikimedia.org/wikipedia/commons/d/d5/Palmira._T.di_bel_porticato_ovest_-_DecArch_-_1-2.jpg,Tempio di Bel,Siria
tempio,Palmira,"trabeazione, base dicolonna, colonna, capitello",34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/9/94/Palmira._Teatro_-_DecArch_-_1-127.jpg,Teatro di Palmira,Siria
tempio,Palmira,cornice,34.54915,38.27055,https://upload.wikimedia.org/wikipedia/commons/5/51/Palmira._Temenos_T._di_bel_ingresso_facciata_interna_lato_ovest_-_DecArch_-_1-3.jpg,Tempio di Bel,Siria
tempio,Palmira,cornice,34.54915,38.27055,https://upload.wikimedia.org/wikipedia/commons/1/15/Palmira._Temenos_T._di_bel_ingresso_facciata_interna_lato_ovest_-_DecArch_-_1-4.jpg,Tempio di Bel,Siria
tempio,Palmira,capitello,34.5542,38.2613,https://upload.wikimedia.org/wikipedia/commons/0/0e/Palmira._Tempio_di_Allat_-_DecArch_-_1-183.jpg,Tempio di Allat,Siria
