categoria edifici,pertinenza edificio,parte di edificio,latitudine,longitudine,media,nome,Stato
chiesa,Aleppo,trabeazione,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/9/94/Santuario_San_Simeone._Chiesa_esterna._Portale_sul_fianco_-_DecArch_-_2-146.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,trabeazione,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/4/4b/Santuario_San_Simeone._Chiesa_esterna._Portale_sul_fianco_-_DecArch_-_2-150.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,"base di colonna, capitello, cornice,  colonna",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/0/0b/Santuario_San_Simeone._Facciata_ingresso_-_DecArch_-_2-160.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,capitello,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/1/12/Santuario_San_Simeone._Facciata_ingresso_-_DecArch_-_2-162.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,capitello,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/1/18/Santuario_San_Simeone._Facciata_ingresso_-_DecArch_-_2-164.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/6/62/Santuario_San_Simeone._Facciata_ingresso_-_DecArch_-_2-166.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/f/f4/Santuario_San_Simeone._Facciata_ingresso_-_DecArch_-_2-168.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,"base di colonna, capitello, cornice,  colonna",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/a/a3/Santuario_San_Simeone._Porta_ingresso_-_DecArch_-_2-152.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,capitello,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/5/57/Santuario_San_Simeone._Porta_ingresso_-_DecArch_-_2-154.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,"capitello, cornice",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/b/be/Santuario_San_Simeone._Porta_ingresso_-_DecArch_-_2-156.jpg,Santuario di S. Simeone,Siria
chiesa,Sergiopoli,capitello,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/d/de/Sergiopolis._Basilica_centrale_-_DecArch_-_2-215.jpg,Basilica centrale,Siria
chiesa,Sergiopoli,"peduccio, cornice",35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/0/06/Sergiopolis._Basilica_centrle_-_DecArch_-_2-261.jpg,Basilica centrale,Siria
porta,Sergiopoli,capitello,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/0/06/Sergiopolis._Basilica_centrle_-_DecArch_-_2-261.jpg,Porta Nord,Siria
chiesa,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/3/32/Sergiopolis._Basilica_centrle_-_DecArch_-_2-262.jpg,Basilica centrale,Siria
chiesa,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/1/14/Sergiopolis._Basilica_centrle_-_DecArch_-_2-263.jpg,Basilica centrale,Siria
chiesa,Sergiopoli,base,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/7/78/Sergiopolis._Cattedrale_-_DecArch_-_2-252.jpg,Cattedrale di Sergiopoli,Siria
chiesa,Sergiopoli,capitello,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/a/a5/Sergiopolis._Cattedrale_-_DecArch_-_2-253.jpg,Cattedrale di Sergiopoli,Siria
chiesa,Sergiopoli,"capitello, cornice",35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/b/bc/Sergiopolis._Cattedrale_-_DecArch_-_2-254.jpg,Cattedrale di Sergiopoli,Siria
chiesa,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/1/1f/Sergiopolis._Martirion_-_DecArch_-_2-201.jpg,Martyrion,Siria
chiesa,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/7/7a/Sergiopolis._Martirion_-_DecArch_-_2-202.jpg,Martyrion,Siria
chiesa,Sergiopoli,trabeazione,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/d/d6/Sergiopolis._Martirion_-_DecArch_-_2-203.jpg,Martyrion,Siria
chiesa,Sergiopoli,trabeazione,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/1/16/Sergiopolis._Martirion_-_DecArch_-_2-204.jpg,Martyrion,Siria
chiesa,Sergiopoli,base di colonna,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/5/57/Sergiopolis._Martirion_-_DecArch_-_2-205.jpg,Martyrion,Siria
chiesa,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/c/c5/Sergiopolis._Martirion_-_DecArch_-_2-206.jpg,Martyrion,Siria
chiesa,Sergiopoli,capitello,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/e/ed/Sergiopolis._Martirion_-_DecArch_-_2-207.jpg,Martyrion,Siria
chiesa,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/b/bf/Sergiopolis._Martirion_dec._abside_-_DecArch_-_2-260.jpg,Martyrion,Siria
chiesa,Sergiopoli,"peduccio, cornice",35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/5/56/Sergiopolis._Martirion._Decorazione_absidie_-_DecArch_-_2-210.jpg,Martyrion,Siria
chiesa,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/3/35/Sergiopolis._Martirion._Decorazioni_absidi_laterali_%28forse%29_-_DecArch_-_2-208.jpg,Martyrion,Siria
chiesa,Sergiopoli,"peduccio, cornice",35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/6/61/Sergiopolis._Martirion._Decorazioni_absidi_laterali_%28forse%29_-_DecArch_-_2-209.jpg,Martyrion,Siria
chiesa,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/2/2c/Sergiopolis._Martiryon_-_DecArch_-_2-267.jpg,Martyrion,Siria
chiesa,Sergiopoli,architrave,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/d/dd/Sergiopolis._Martiryon_-_DecArch_-_2-268.jpg,Martyrion,Siria
chiesa,Sergiopoli,architrave,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/a/a9/Sergiopolis._Martiryon_-_DecArch_-_2-269.jpg,Martyrion,Siria
porta,Sergiopoli,peduccio,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/2/25/Sergiopolis._Porta_nord_-_DecArch_-_2-214.jpg,Porta Nord,Siria
porta,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/5/58/Sergiopolis._Porta_nord_-_DecArch_-_2-216.jpg,Porta Nord,Siria
porta,Sergiopoli,peduccio,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/3/3b/Sergiopolis._Porta_nord_-_DecArch_-_2-217.jpg,Porta Nord,Siria
porta,Sergiopoli,capitello,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/8/8b/Sergiopolis._Porta_nord_-_DecArch_-_2-218.jpg,Porta Nord,Siria
porta,Sergiopoli,"base di colonna, colonna, capitello, cornice",35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/c/c3/Sergiopolis._Porta_nord_-_DecArch_-_2-220.jpg,Porta Nord,Siria
porta,Sergiopoli,cornice,35.6171,38.7384,https://upload.wikimedia.org/wikipedia/commons/7/72/Sergiopolis._Porta_sud_-_DecArch_-_2-211.jpg,Porta Sud,Siria
ninfeo,Gerasa,trabeazione,32.28065,35.89214,https://upload.wikimedia.org/wikipedia/commons/2/22/GerasaNinfeo-Trabeazione.jpg,Ninfeo di Gerasa,Giordania
chiesa,Gerasa,trabeazione,32.28094,35.89066,https://upload.wikimedia.org/wikipedia/commons/5/5a/GerasaPropileiCattedrale.jpg,Cattedrale di Gerasa,Giordania
tempio,Gerasa,cornice,32.28132,35.8914,https://upload.wikimedia.org/wikipedia/commons/c/c6/GerasaTempioArtemide-Propilei-Cornici.jpg,Tempio di Artemide,Giordania
tempio,Gerasa,capitello,32.28132,35.8914,https://upload.wikimedia.org/wikipedia/commons/d/de/GerasaTempioArtemideCapitelli.jpg,Tempio di Artemide,Giordania
via colonnata,Gerasa,"capitello, trabeazione",32.28131,35.8924,https://upload.wikimedia.org/wikipedia/commons/a/a8/GerasaViaColonnata.jpg,Via Colonnata di Gerasa,Giordania
